Gene,BLymphocytes,TLymphocytes,Monocytes,Neutrophils
POU2F2,0,1,0,0
HCFC1,0,1,0,0
TRAPPC9,0,1,0,0
OBSCN,0,1,0,0
STX16,0,1,0,0
ARL10,0,1,0,0
LINC01238,0,1,0,0
SETD1A,0,1,0,0
TRIM66,0,1,0,0
CREB3L2,0,1,0,0
SAMD4B,0,1,0,0
AP000347.1,0,1,0,0
IGF1R,0,1,0,1
CTDNEP1,0,1,0,0
MGRN1,0,1,0,0
PRRC2B,0,1,1,1
TMEM86B,0,1,0,0
SCAF4,0,1,0,0
TANC2,0,1,0,0
TIAF1,0,1,0,0
POGZ,0,1,0,0
ELMSAN1,0,1,0,0
RNF44,0,1,0,0
VAMP2,0,1,0,0
SEC16A,0,1,0,0
BCORL1,0,1,0,0
SORBS3,0,1,0,0
MDC1,0,1,0,0
AC138035.1,0,1,0,0
PLAGL2,0,1,0,0
AC006001.3,0,1,0,0
ZER1,0,0,1,0
LMAN2,0,0,1,0
SSR4,0,0,1,0
RPS6KB2,0,0,1,0
TFEB,0,0,1,0
KDM4B,0,0,1,0
RPL10,0,0,1,0
HEXB,0,0,1,0
MICAL2,0,0,1,0
TOM1L2,0,0,1,0
PIAS4,0,0,1,0
RNASEK,0,0,1,0
ARHGAP1,0,0,1,0
RARA,0,0,1,0
NOTCH1,0,0,1,0
BST2,0,0,1,0
SCAMP4,0,0,1,0
ARL11,0,0,1,0
CLN3,0,0,1,0
P4HB,0,0,1,0
RPS5,0,0,1,0
MAP3K11,0,0,1,0
SEMA4A,0,0,1,0
TALDO1,0,0,1,0
MAN2B1,0,0,1,0
TTLL12,0,0,1,0
SERTAD2,0,0,1,1
RAB5C,0,0,1,0
STK40,0,0,1,0
CTNND1,0,0,1,0
ALDOA,0,0,1,0
SLC39A13,0,0,1,0
MYCL,0,0,1,0
PSKH1,0,0,1,0
DAGLA,0,0,1,0
RGS14,0,0,1,0
ARHGEF10L,0,0,1,0
SLC27A1,0,0,1,0
LDLRAP1,0,0,1,0
BAP1,0,0,1,0
NADK,0,0,1,0
TOLLIP,0,0,1,0
BCL11A,0,0,1,0
YIF1B,0,0,1,0
NDUFS7,0,0,1,0
NHSL2,0,0,1,1
ZNF217,0,0,1,1
TWF2,0,0,1,0
ACTN1,0,0,1,0
SPINT2,0,0,1,0
UNC93B1,0,0,1,0
MEF2D,0,0,1,1
TLR6,0,0,1,0
MEFV,0,0,1,0
RNF130,0,0,1,0
BMF,0,0,1,0
MXD3,0,0,1,0
ITGA5,0,0,1,0
CHMP5,0,0,1,0
IDH3G,0,0,1,0
GAS7,0,0,1,0
MOB3A,0,0,1,1
RPL18A,0,0,1,0
ST6GALNAC4,0,0,1,0
RELT,0,0,1,0
MIDN,0,0,1,0
NAGK,0,0,1,0
DNAJC4,0,0,1,0
ZBTB7B,0,0,1,0
ARPC1B,0,0,1,0
NISCH,0,0,1,0
AC133644.2,0,0,1,0
ULK1,0,0,1,0
ERF,0,0,1,0
NAALADL1,0,0,1,0
CAMK1,0,0,1,0
BRPF1,0,0,1,0
SIGLEC9,0,0,1,0
STUB1,0,0,1,0
TNRC6C,0,0,1,0
ATP11A,0,0,1,0
ORMDL3,0,0,1,0
HNRNPA3,0,0,0,1
UBE2B,0,0,0,1
AC099811.1,0,0,0,1
FMR1,0,0,0,1
DCUN1D1,0,0,0,1
AC004656.1,0,0,0,1
ZFP36L1,0,0,0,1
CDK6,0,0,0,1
FUBP1,0,0,0,1
CPEB2,0,0,0,1
FCHO2,0,0,0,1
NPAT,0,0,0,1
RICTOR,0,0,0,1
SPOPL,0,0,0,1
FAM8A1,0,0,0,1
POLRMT,0,0,0,1
AC005070.3,0,0,0,1
MAPK8IP3,0,0,0,1
MYC,0,0,0,1
SMG1P3,0,0,0,1
ZRANB2,0,0,0,1
PTAR1,0,0,0,1
PTP4A1,0,0,0,1
Z83843.1,0,0,0,1
CCR2,0,0,0,1
TBL1XR1,0,0,0,1
AC018607.1,0,0,0,1
PRMT1,0,0,0,1
SUB1,0,0,0,1
CBX6,0,0,0,1
KIF21A,0,0,0,1
NUFIP2,0,0,0,1
RNF24,0,0,0,1
MTND3P12,0,0,0,1
CUL4B,0,0,0,1
ANKFY1,0,0,0,1
AC066616.2,0,0,0,1
RASGRP1,0,0,0,1
HNRNPH1,0,0,0,1
RAVER1,0,0,0,1
AC087190.3,0,0,0,1
CCNK,0,0,0,1
LMAN1,0,0,0,1
NME1,0,0,0,1
STX7,0,0,0,1
ELK4,0,0,0,1
AP006259.1,0,0,0,1
ZNF395,0,0,0,1
MPRIP,0,0,0,1
FAM102A,0,0,0,1
RASGRF2,0,0,0,1
SLC40A1,0,0,0,1
LAMP2,0,0,0,1
ZNF292,0,0,0,1
UBAP1L,0,0,0,1
MTND5P32,0,0,0,1
GOLT1B,0,0,0,1
ZNF331,0,0,0,1
GPCPD1,0,0,0,1
ST8SIA4,0,0,0,1
ZNF780B,0,0,0,1
ANK3,0,0,0,1
FOXN2,0,0,0,1
SLFN12L,0,0,0,1
NSRP1P1,0,0,0,1
PTPN12,0,0,0,1
PPP1R12B,0,0,0,1
CXXC5,0,0,0,1
RBMS1,0,0,0,1
RAB27A,0,0,0,1
RRM2B,0,0,0,1
GLIPR1,0,0,0,1
AC011933.2,0,0,0,1
ZFYVE16,0,0,0,1
ZNF385D,0,0,0,1
FAM126B,0,0,0,1
NBEA,0,0,0,1
FAR1,0,0,0,1
PARP8,0,0,0,1
MROH1,0,0,0,1
TNFRSF25,0,0,0,1
SPATA13,0,0,0,1
ZNF516,0,0,0,1
ZNF462,0,0,0,1
ZKSCAN8,0,0,0,1
MAP2,0,0,0,1
USP14,0,0,0,1
AOAH,0,0,0,1
FRY,0,0,0,1
FAM46C,0,0,0,1
PRRC1,0,0,0,1
AC092127.1,0,0,0,1
PASK,0,0,0,1
PDS5B,0,0,0,1
EIF1AX,0,0,0,1
LCK,0,0,0,1
C15orf39,0,0,0,1
MAP2K3,0,0,0,1
ITPR3,0,0,0,1
RNPEPL1,0,0,0,1
MED25,0,0,0,1
ZNF66,0,0,0,1
ACSS1,0,0,0,1
N4BP3,0,0,0,1
ANPEP,0,0,0,1
IGKV1-39,0,0,0,1
RBM7,0,0,0,1
ACTR2,0,0,0,1
ANO9,0,0,0,1
